,gene,loading
0,XAGE1E|XAGE1E,0.0791699623392713
1,HYPK|HYPK,0.08231923635872707
2,BAGE4|BAGE4,0.08720681803032888
3,TGIF2-C20orf24|TGIF2-C20orf24,0.08780605876596184
4,BAGE3|BAGE3,0.0886585810047774
5,STBD1|STBD1,0.09083837899953301
6,SENP3-EIF4A1|SENP3-EIF4A1,0.10877993359557146
7,VCY|VCY,0.11709944935809964
8,PIGY|PIGY,0.1342470119434445
9,GAGE2A|GAGE2A,0.18588858211951273
