,gene,loading
0,BAGE5|BAGE5,0.08811985864391464
1,SNORD116-5|SNORD116-5,0.09854247120820724
2,ATP6V1C2|ATP6V1C2,0.10870639229971922
3,MIR6076|MIR6076,0.1147696994458892
4,POLE2|POLE2,0.12128047209722959
5,NUDT4P1|NUDT4P1,0.16896194075634166
6,RNU1-2|RNU1-2,0.17089390333576185
7,NME1-NME2|NME1-NME2,0.20206265489365616
8,SMIM11A|SMIM11A,0.20965790488209043
9,BMS1P18|BMS1P18,0.23908492557785518
