gene_id,LNCaP_DHT_RNA_rep1_batch,LNCaP_DHT_RNA_rep2_batch,LNCaP_Veh_RNA_rep1_batch,LNCaP_Veh_RNA_rep2_batch
ST8SIA4|ST8SIA4,3.5120880000000003,3.631937,3.741322,3.81332
LOC101928565|LOC101928565,0.0,0.0,0.0,0.0
LOC100192426|LOC100192426,0.068625,0.028751,0.086524,0.0
CDC45|CDC45,5.324633,5.034478,4.315721,4.677218
PAM|PAM,2.676174,2.6559239999999997,2.366678,2.503073
LOC101927354|LOC101927354,0.0,0.0,0.0,0.0
C18orf8|C18orf8,13.961251,14.462041000000001,13.562697,13.522381000000001
ABHD11-AS1|ABHD11-AS1,0.904887,1.076501,0.902467,1.136919
RWDD4|RWDD4,6.240814,6.536148,5.695291,5.811169
AKR7A2|AKR7A2,6.170378,6.088828,5.004428,5.330928
CAPSL|CAPSL,0.087363,0.0,0.07537,0.074699
MIR5001|MIR5001,0.000171,0.000154,0.00019,0.000207
CHCHD6|CHCHD6,8.164083,7.209111,6.283059,6.445881
CALR|CALR,1356.058716,1372.395386,1339.127197,1367.057617
PALLD|PALLD,6.901221,7.480781,5.920235,6.187964999999999
PROB1|PROB1,0.533106,0.525182,0.448154,0.483827
PDXK|PDXK,17.752983,17.899775,15.552431,16.368877
PCYOX1|PCYOX1,36.53923,36.938534,33.017033,34.512131
ZNF124|ZNF124,34.934039000000006,35.63968800000001,31.447480000000002,31.188453000000003
MIR7845|MIR7845,0.0,0.054663,0.0,0.0
CCDC26|CCDC26,0.0,0.0,0.0,0.0
TRIM74|TRIM74,0.0,0.0,0.0,0.0
C10orf12|C10orf12,22.139072,22.959702,19.056002,19.726433
CEACAM21|CEACAM21,0.0,0.0,0.0,0.0
SCGB2A1|SCGB2A1,0.0,0.0,0.0,0.0
BAZ2A|BAZ2A,11.392473,11.525053999999999,9.074848,9.626718
LINC01271|LINC01271,0.018696,0.030777,0.099346,0.102702
SLC12A7|SLC12A7,8.129904999999999,8.081267,7.064997,7.123387
ITGB6|ITGB6,0.022712,0.027028,0.0,0.0
CLEC5A|CLEC5A,0.0,0.0,0.003396,0.003382
NUB1|NUB1,30.490930999999996,31.137209,29.848292999999998,30.529971000000003
IFNL1|IFNL1,0.0,0.0,0.0,0.0
MIR6803|MIR6803,0.183995,0.482505,0.282499,0.630223
SLCO4C1|SLCO4C1,0.0,0.0,0.0,0.0
