Category	Term	Count	GeneRatio	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
1	Ribosome	5	10.0	6.727727079245122E-4	RPS16, RPL32, RPL22L1, RPS27A, MRPL33	22	167	8465	11.520141535111595	0.046659300953566074	0.04776686226264036	0.04776686226264036
2	Spliceosome	4	8.0	0.015716549725688585	PRPF38B, SNRPB2, SRSF6, HNRNPA1L2	22	217	8465	7.092584834520319	0.6752620915149896	0.44423744120118225	0.44423744120118225
3	Coronavirus disease - COVID-19	4	8.0	0.018770596107092207	RPS16, RPL32, RPL22L1, RPS27A	22	232	8465	6.634012539184953	0.7395590137096283	0.44423744120118225	0.44423744120118225
