Category	Term	Count	GeneRatio	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
1	Ribosome	6	9.375	1.9150055617624394E-4	RPS16, RPL32, RPL22L1, RPS27A, MRPL33, RPS12	29	167	8465	10.487301259549865	0.021409135168323434	0.021639562847915565	0.021639562847915565
2	Spliceosome	6	9.375	6.418425153380799E-4	PRPF38B, U2AF2, SNRPB2, SRSF5, SRSF6, HNRNPA1L2	29	217	8465	8.070872397902432	0.0699821412294579	0.032731170396691274	0.032731170396691274
3	Coronavirus disease - COVID-19	6	9.375	8.689691255758746E-4	NFKBIA, RPS16, RPL32, RPL22L1, RPS27A, RPS12	29	232	8465	7.549048751486326	0.09356522096252884	0.032731170396691274	0.032731170396691274
4	Shigellosis	4	6.25	0.04700916219069613	NFKBIA, BCL2, ARPC5, RPS27A	29	247	8465	4.727069663548792	0.9956646321002648	1.0	1.0
