,PC1,PC2
LNCaP_DHT_RNA_rep1,133.13110066204467,-144.89288335396157
LNCaP_DHT_RNA_rep2,168.65520796979817,117.85379754005314
LNCaP_Veh_RNA_rep1,-164.0307832156281,-119.42321563068167
LNCaP_Veh_RNA_rep2,-137.75552541621482,146.46230144459014
