,gene,loading
0,NR_111944_2,-0.08153178110280637
1,NR_111944,-0.08053540959351783
2,NR_004430,-0.07907564165156761
3,NM_001914,-0.07200486887200001
4,NR_004394_9,-0.06756189277441875
5,NM_001206798,-0.06345422311614701
6,NR_104080_9,-0.06060666008949667
7,NM_002967,-0.06035958641291329
8,NM_001166356,-0.05977458502266582
9,NM_001280791,-0.05852860055087546
